nationality,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Bahamas,111.0,1.4676715589051963,19.0,0.2766453115899826,24.0,0.3480783176214647,35.0,0.45566983465694566,34,0.1651367234931274,32.0,0.1642710472279261,3.0,0.04618226600985223,20.0,0.12528973250642111,14.0,0.12330456226880397,23.0,0.16164171761894722,23.0,0.10106780331326623,0.6324093911420616,Retail,Luxury Retail,Company
Netherlands,12.0,0.15866719555731854,54.0,0.7862550960978453,46.0,0.667150108774474,36.0,0.46868897279000127,109,0.5294089076691437,114.0,0.5852156057494866,60.0,0.9236453201970446,96.0,0.6013907160308214,68.0,0.5989078738770478,69.0,0.4849251528568416,137.0,0.6020125675616295,0.6069377780635474,Retail,Luxury Retail,Company
Belgium,7.0,0.09255586407510247,59.0,0.8590564938846829,32.0,0.46410442349528624,41.0,0.5337846634552792,84,0.4079848462771383,99.0,0.5082135523613963,35.0,0.5387931034482759,109.0,0.682829042159995,95.0,0.8367095296811696,82.0,0.5762878628153769,126.0,0.5536757920639803,0.601358764368086,Retail,Luxury Retail,Company
Honduras,60.0,0.7933359777865925,50.0,0.7280139778683753,66.0,0.957215373459028,89.0,1.1587032938419477,84,0.4079848462771383,74.0,0.3798767967145791,12.0,0.18472906403940892,43.0,0.2693729248888054,22.0,0.19376431213669196,42.0,0.2951718321737297,68.0,0.29880915762183063,0.5958395319348883,Retail,Luxury Retail,Company
Lebanon,27.0,0.3570011900039667,38.0,0.5532906231799652,31.0,0.44960116026105856,45.0,0.5858612159875015,112,0.5439797950361844,142.0,0.728952772073922,39.0,0.600369458128079,99.0,0.6201841759067844,74.0,0.6517526862779639,75.0,0.5270925574530887,118.0,0.5185217735202354,0.586452936659664,Retail,Luxury Retail,Company
Congo - Kinshasa,75.0,0.9916699722332408,35.0,0.5096097845078627,17.0,0.24655547498187083,14.0,0.1822679338627783,95,0.4614114332896208,83.0,0.4260780287474333,22.0,0.33866995073891637,69.0,0.43224957714715284,52.0,0.45798837414127186,132.0,0.9276829011174362,84.0,0.36911719470932014,0.579210456593555,Retail,Luxury Retail,Company
Panama,107.0,1.4147824937194233,28.0,0.4076878276062902,21.0,0.30456852791878164,42.0,0.5468038015883347,68,0.3302734469862548,60.0,0.3080082135523614,13.0,0.20012315270935963,46.0,0.2881663847647686,34.0,0.2994539369385239,47.0,0.33031133600393564,55.0,0.24168387748824535,0.5526942544270925,Retail,Luxury Retail,Company
Guatemala,67.0,0.8858918418616952,35.0,0.5096097845078627,68.0,0.9862218999274833,74.0,0.9634162218461138,74,0.35941522172033613,51.0,0.2618069815195072,19.0,0.2924876847290641,40.0,0.25057946501284223,26.0,0.22899418707063593,40.0,0.2811160306416473,62.0,0.272443643714022,0.5488602671746897,Retail,Luxury Retail,Company
Israel,6.0,0.07933359777865927,30.0,0.4368083867210252,21.0,0.30456852791878164,31.0,0.40359328212472323,86,0.41769877118849874,93.0,0.47741273100616016,53.0,0.8158866995073893,94.0,0.5888617427801792,74.0,0.6517526862779639,65.0,0.45681354979267685,106.0,0.4657907457046183,0.5139612439867355,Retail,Luxury Retail,Company
Grenada,73.0,0.9652254396403542,9.0,0.13104251601630756,10.0,0.14503263234227698,11.0,0.1432105194636115,9,0.043712662101121964,13.0,0.06673511293634499,1.0,0.015394088669950741,6.0,0.03758691975192634,3.0,0.02642240620045799,9.0,0.06325110689437065,9.0,0.03954827086171287,0.5043975779613421,Retail,Luxury Retail,Company
Austria,6.0,0.07933359777865927,35.0,0.5096097845078627,23.0,0.333575054387237,15.0,0.19528707199583384,105,0.5099810578464229,96.0,0.49281314168377827,41.0,0.6311576354679804,91.0,0.5700682829042161,64.0,0.5636779989431039,54.0,0.3795066413662239,107.0,0.4701849980225864,0.4935701274785409,Retail,Luxury Retail,Company
Cameroon,66.0,0.8726695755652519,19.0,0.2766453115899826,13.0,0.18854242204496002,22.0,0.286421038927223,63,0.30598863470785376,61.0,0.3131416837782341,12.0,0.18472906403940892,57.0,0.35707573764330014,34.0,0.2994539369385239,112.0,0.7871248857966127,83.0,0.364722942391352,0.4818545849544657,Retail,Luxury Retail,Company
Antigua & Barbuda,58.0,0.7668914451937062,5.0,0.07280139778683753,17.0,0.24655547498187083,16.0,0.20830621012888945,7,0.03399873718976153,5.0,0.025667351129363452,1.0,0.015394088669950741,1.0,0.006264486625321055,1.0,0.008807468733485998,7.0,0.04919530536228829,1.0,0.0043942523179680976,0.4463328453511015,Retail,Luxury Retail,Company
Costa Rica,22.0,0.2908898585217506,32.0,0.4659289458357602,30.0,0.4350978970268309,35.0,0.45566983465694566,93,0.4516975083782603,61.0,0.3131416837782341,17.0,0.26169950738916264,48.0,0.3006953580154107,35.0,0.30826140567200994,66.0,0.4638414505587181,76.0,0.3339631761655754,0.3826919425281675,Retail,Luxury Retail,Company
Cape Verde,62.0,0.8197805103794791,17.0,0.24752475247524758,20.0,0.29006526468455396,29.0,0.3775550058586122,17,0.0825683617465637,14.0,0.07186858316221766,2.0,0.030788177339901482,15.0,0.09396729937981584,10.0,0.08807468733485997,16.0,0.11244641225665894,15.0,0.06591378476952145,0.3655954714264304,Retail,Luxury Retail,Company
Belize,59.0,0.7801137114901493,14.0,0.2038439138031451,15.0,0.21754894851341544,19.0,0.24736362452805624,13,0.06314051192384283,11.0,0.05646817248459959,1.0,0.015394088669950741,7.0,0.04385140637724739,5.0,0.044037343667429986,11.0,0.07730690842645302,12.0,0.052731027815617164,0.361145702966251,Retail,Luxury Retail,Company
Angola,19.0,0.251223059632421,23.0,0.33488642981945266,16.0,0.23205221174764312,11.0,0.1432105194636115,42,0.20399242313856916,62.0,0.3182751540041068,4.0,0.061576354679802964,67.0,0.4197206038965107,34.0,0.2994539369385239,85.0,0.5973715651135005,65.0,0.2856264006679263,0.35970990012793913,Retail,Luxury Retail,Company
Cambodia,17.0,0.22477852703953458,20.0,0.2912055911473501,36.0,0.5221174764321971,26.0,0.33849759145944536,100,0.48569624556802177,54.0,0.27720739219712526,7.0,0.1077586206896552,36.0,0.225521518511558,31.0,0.27303153073806596,56.0,0.39356244289830633,65.0,0.2856264006679263,0.35429377758351516,Retail,Luxury Retail,Company
Monaco,2.0,0.026444532592886417,15.0,0.2184041933605126,19.0,0.2755620014503262,11.0,0.1432105194636115,59,0.28656078488513287,60.0,0.3080082135523614,32.0,0.4926108374384237,58.0,0.3633402242686212,30.0,0.26422406200457993,70.0,0.4919530536228828,74.0,0.32517467152963925,0.3460259673050139,Retail,Luxury Retail,Company
Ethiopia,64.0,0.8462250429723653,17.0,0.24752475247524758,17.0,0.24655547498187083,17.0,0.22132534826194505,63,0.30598863470785376,46.0,0.23613963039014374,14.0,0.2155172413793104,25.0,0.15661216563302638,31.0,0.27303153073806596,27.0,0.18975332068311196,49.0,0.21531836358043674,0.3446769377537793,Retail,Luxury Retail,Company
Armenia,14.0,0.18511172815020493,28.0,0.4076878276062902,15.0,0.21754894851341544,25.0,0.3254784533263898,47,0.2282772354169703,66.0,0.33880903490759756,10.0,0.15394088669950742,55.0,0.344546764392658,62.0,0.5460630614761319,30.0,0.2108370229812355,81.0,0.3559344377554159,0.3417982359449797,Retail,Luxury Retail,Company
Albania,11.0,0.1454449292608753,14.0,0.2038439138031451,19.0,0.2755620014503262,23.0,0.29944017706027853,60,0.2914177473408131,71.0,0.364476386036961,13.0,0.20012315270935963,48.0,0.3006953580154107,36.0,0.31706887440549586,46.0,0.32328343523789443,86.0,0.3779056993452563,0.317938606972655,Retail,Luxury Retail,Company
Iraq,10.0,0.1322226629644321,7.0,0.10192195690157255,6.0,0.08701957940536617,14.0,0.1822679338627783,66,0.3205595220748944,68.0,0.3490759753593429,21.0,0.3232758620689656,53.0,0.33201779114201596,37.0,0.32587634313898195,58.0,0.40761824443038863,63.0,0.27683789603199016,0.31645024818099293,Retail,Luxury Retail,Company
Iran,16.0,0.21155626074309133,22.0,0.32032615026208516,17.0,0.24655547498187083,22.0,0.286421038927223,63,0.30598863470785376,64.0,0.3285420944558522,24.0,0.36945812807881784,37.0,0.23178600513687905,34.0,0.2994539369385239,51.0,0.3584229390681003,73.0,0.3207804192116711,0.3086283949298025,Retail,Luxury Retail,Company
Gambia,54.0,0.7140023800079334,10.0,0.14560279557367506,3.0,0.043509789702683085,5.0,0.06509569066527796,31,0.15056583612608676,15.0,0.07700205338809035,5.0,0.07697044334975371,8.0,0.05011589300256844,4.0,0.03522987493394399,18.0,0.1265022137887413,19.0,0.08349079404139385,0.2969813942722008,Retail,Luxury Retail,Company
Nicaragua,31.0,0.40989025518973954,25.0,0.36400698893418765,24.0,0.3480783176214647,38.0,0.4947272490561125,53,0.25741901015105156,50.0,0.2566735112936345,8.0,0.12315270935960593,44.0,0.27563741151412646,23.0,0.20257178087017794,28.0,0.19678122144915317,44.0,0.1933471019905963,0.29137700068925687,Retail,Luxury Retail,Company
Hungary,3.0,0.039666798889329634,21.0,0.30576587070471767,13.0,0.18854242204496002,11.0,0.1432105194636115,57,0.27684685997377245,50.0,0.2566735112936345,21.0,0.3232758620689656,54.0,0.33828227776733694,39.0,0.3434912806059539,38.0,0.26706022910956495,69.0,0.30320340993979866,0.2891008444251709,Retail,Luxury Retail,Company
Dominica,47.0,0.6214465159328308,7.0,0.10192195690157255,9.0,0.13052936910804927,10.0,0.1301913813305559,10,0.04856962455680217,11.0,0.05646817248459959,3.0,0.04618226600985223,7.0,0.04385140637724739,6.0,0.05284481240091598,9.0,0.06325110689437065,11.0,0.04833677549764907,0.27206541719176874,Retail,Luxury Retail,Company
Mali,29.0,0.3834457225968531,14.0,0.2038439138031451,8.0,0.11602610587382156,8.0,0.10415310506444472,34,0.1651367234931274,36.0,0.18480492813141686,8.0,0.12315270935960593,25.0,0.15661216563302638,28.0,0.24660912453760794,67.0,0.47086935132475927,49.0,0.21531836358043674,0.2676706800801047,Retail,Luxury Retail,Company
Libya,4.0,0.052889065185772834,2.0,0.029120559114735014,3.0,0.043509789702683085,3.0,0.03905741439916677,46,0.22342027296129002,56.0,0.2874743326488706,18.0,0.2770935960591134,41.0,0.25684395163816326,44.0,0.3875286242733839,28.0,0.19678122144915317,56.0,0.24607812980621344,0.2616385045176614,Retail,Luxury Retail,Company
Bulgaria,1.0,0.013222266296443208,12.0,0.17472335468841008,6.0,0.08701957940536617,8.0,0.10415310506444472,53,0.25741901015105156,53.0,0.2720739219712526,12.0,0.18472906403940892,46.0,0.2881663847647686,24.0,0.21137924960366392,46.0,0.32328343523789443,52.0,0.22850112053434107,0.2518433577918732,Retail,Luxury Retail,Company
Denmark,1.0,0.013222266296443208,25.0,0.36400698893418765,23.0,0.333575054387237,18.0,0.23434448639500063,40,0.1942784982272087,44.0,0.22587268993839835,23.0,0.3540640394088671,41.0,0.25684395163816326,22.0,0.19376431213669196,21.0,0.14758591608686486,39.0,0.1713758404007558,0.24051587234368677,Retail,Luxury Retail,Company
Finland,6.0,0.07933359777865927,14.0,0.2038439138031451,12.0,0.17403915881073234,10.0,0.1301913813305559,57,0.27684685997377245,46.0,0.23613963039014374,21.0,0.3232758620689656,30.0,0.18793459875963167,27.0,0.23780165580412194,30.0,0.2108370229812355,55.0,0.24168387748824535,0.2332080968819515,Retail,Luxury Retail,Company
Guinea,34.0,0.44955705407906915,12.0,0.17472335468841008,5.0,0.07251631617113849,13.0,0.16924879572972268,22,0.10685317402496478,34.0,0.17453798767967146,4.0,0.061576354679802964,35.0,0.21925703188623694,16.0,0.14091949973577597,41.0,0.28814393140768846,25.0,0.10985630794920244,0.2197710367091478,Retail,Luxury Retail,Company
Paraguay,4.0,0.052889065185772834,8.0,0.11648223645894006,2.0,0.02900652646845539,6.0,0.07811482879833354,47,0.2282772354169703,47.0,0.24127310061601645,12.0,0.18472906403940892,35.0,0.21925703188623694,27.0,0.23780165580412194,36.0,0.2530044275774826,49.0,0.21531836358043674,0.21871476472939622,Retail,Luxury Retail,Company
Afghanistan,8.0,0.10577813037154567,18.0,0.26208503203261513,17.0,0.24655547498187083,17.0,0.22132534826194505,65,0.3157025596192142,23.0,0.11806981519507187,9.0,0.1385467980295567,19.0,0.11902524588110006,12.0,0.10568962480183196,22.0,0.15461381685290604,34.0,0.14940457881091532,0.2049669579565731,Retail,Luxury Retail,Company
Bolivia,6.0,0.07933359777865927,12.0,0.17472335468841008,5.0,0.07251631617113849,9.0,0.11717224319750032,40,0.1942784982272087,46.0,0.23613963039014374,4.0,0.061576354679802964,37.0,0.23178600513687905,27.0,0.23780165580412194,23.0,0.16164171761894722,48.0,0.21092411126246866,0.20120048910867838,Retail,Luxury Retail,Company
Croatia,4.0,0.052889065185772834,14.0,0.2038439138031451,12.0,0.17403915881073234,9.0,0.11717224319750032,28,0.1359949487590461,36.0,0.18480492813141686,11.0,0.16933497536945818,35.0,0.21925703188623694,25.0,0.22018671833714992,20.0,0.14055801532082365,38.0,0.1669815880827877,0.1761510197566862,Retail,Luxury Retail,Company
Uruguay,1.0,0.013222266296443208,6.0,0.08736167734420504,4.0,0.05801305293691078,6.0,0.07811482879833354,35,0.16999368594880762,36.0,0.18480492813141686,13.0,0.20012315270935963,30.0,0.18793459875963167,24.0,0.21137924960366392,24.0,0.16866961838498837,39.0,0.1713758404007558,0.17378605271195574,Retail,Luxury Retail,Company
Botswana,3.0,0.039666798889329634,22.0,0.32032615026208516,11.0,0.15953589557650466,8.0,0.10415310506444472,43,0.20884938559424937,27.0,0.13860369609856263,9.0,0.1385467980295567,28.0,0.17540562550898955,15.0,0.13211203100228996,18.0,0.1265022137887413,27.0,0.11864481258513862,0.17107833042205228,Retail,Luxury Retail,Company
Bahrain,1.0,0.013222266296443208,3.0,0.04368083867210252,2.0,0.02900652646845539,,,32,0.15542279858176697,23.0,0.11806981519507187,25.0,0.3848522167487685,17.0,0.10649627263045794,18.0,0.15853443720274793,12.0,0.08433480919249418,27.0,0.11864481258513862,0.16495126695342494,Retail,Luxury Retail,Company
Czechia,3.0,0.039666798889329634,11.0,0.16016307513104258,12.0,0.17403915881073234,13.0,0.16924879572972268,29,0.14085191121472632,32.0,0.1642710472279261,17.0,0.26169950738916264,20.0,0.12528973250642111,22.0,0.19376431213669196,19.0,0.13353011455478248,37.0,0.16258733576481962,0.16409852163923694,Retail,Luxury Retail,Company
Togo,22.0,0.2908898585217506,7.0,0.10192195690157255,6.0,0.08701957940536617,3.0,0.03905741439916677,24,0.11656709893632523,25.0,0.12833675564681726,2.0,0.030788177339901482,18.0,0.112760759255779,12.0,0.10568962480183196,37.0,0.2600323283435238,22.0,0.09667355099529815,0.16216803011558542,Retail,Luxury Retail,Company
Benin,9.0,0.11900039666798887,6.0,0.08736167734420504,,,5.0,0.06509569066527796,17,0.0825683617465637,23.0,0.11806981519507187,6.0,0.09236453201970446,18.0,0.112760759255779,11.0,0.09688215606834598,24.0,0.16866961838498837,21.0,0.09227929867733003,0.11196743339656758,Retail,Luxury Retail,Company
Cyprus,1.0,0.013222266296443208,2.0,0.029120559114735014,2.0,0.02900652646845539,8.0,0.10415310506444472,22,0.10685317402496478,27.0,0.13860369609856263,8.0,0.12315270935960593,18.0,0.112760759255779,11.0,0.09688215606834598,10.0,0.07027900766041183,25.0,0.10985630794920244,0.10884766966235562,Retail,Luxury Retail,Company
Bermuda,11.0,0.1454449292608753,1.0,0.014560279557367507,5.0,0.07251631617113849,5.0,0.06509569066527796,5,0.024284812278401086,4.0,0.020533880903490762,4.0,0.061576354679802964,3.0,0.01879345987596317,2.0,0.017614937466971996,5.0,0.03513950383020591,3.0,0.013182756953904291,0.06373407466476738,Retail,Luxury Retail,Company
American Samoa,4.0,0.052889065185772834,5.0,0.07280139778683753,7.0,0.10152284263959387,7.0,0.09113396693138914,5,0.024284812278401086,4.0,0.020533880903490762,,,6.0,0.03758691975192634,2.0,0.017614937466971996,5.0,0.03513950383020591,4.0,0.01757700927187239,0.053764845946207125,Retail,Luxury Retail,Company
Anguilla,7.0,0.09255586407510247,,,,,1.0,0.01301913813305559,3,0.014570887367040654,2.0,0.010266940451745381,,,2.0,0.01252897325064211,,,1.0,0.007027900766041184,,,0.047327661058169435,Retail,Luxury Retail,Company
Aruba,1.0,0.013222266296443208,2.0,0.029120559114735014,1.0,0.014503263234227695,1.0,0.01301913813305559,5,0.024284812278401086,5.0,0.025667351129363452,2.0,0.030788177339901482,4.0,0.02505794650128422,2.0,0.017614937466971996,2.0,0.014055801532082367,3.0,0.013182756953904291,0.021908731874170737,Retail,Luxury Retail,Company
