jobs,tylerthecreator_count,tylerthecreator_percent
Artist,4359,21.4591640821149
Producer,1632,8.03426377196869
Content Creator,1501,7.3893565696844400
Designer,1102,5.4250972283759200
Entrepreneur,1041,5.124796928075620
Writer,1037,5.105105105105100
Musician,771,3.7955988775660900
Creator,754,3.711908629941420
Gamer,705,3.4706837985526500
Onlyfans,702,3.455914931324770
Streamer,643,3.1654605425097200
Editor,565,2.7814699945847500
CEO,539,2.6534731452764200
Model,389,1.9150297838822400
DJ,386,1.9002609166543600
Music Producer,374,1.8411854477428200
Songwriter,363,1.7870329345739200
Director,314,1.5458081031851500
Youtuber,261,1.2848914488258800
Fortnie,235,1.1568945995175500